DMG9000 - SN:23100118
Date  hh:mm:ss,DMG - VLL ph 1-AVG,DMG - VLL ph 2-AVG,DMG - VLL ph 3-AVG,BRN01 I ph 1-AVG,BRN01 I ph 2-AVG,BRN01 I ph 3-AVG,BRN01 W TOT-AVG,BRN01 kWh+ SUM TOT,BRN02 I ph 1-AVG,BRN02 I ph 2-AVG,BRN02 I ph 3-AVG,BRN02 W TOT-AVG,BRN02 kWh+ SUM TOT,BRN03 I ph 1-AVG,BRN03 I ph 2-AVG,BRN03 I ph 3-AVG,BRN03 W TOT-AVG,BRN03 kWh+ SUM TOT,DMG - PF TOT-AVG,DMG - Cos ph 1-AVG,DMG - Cos ph 2-AVG,DMG - Cos ph 3-AVG,DMG - VLN%THD ph 1-AVG,DMG - VLN%THD ph 2-AVG,DMG - VLN%THD ph 3-AVG,DMG - VLL%THD ph 1-AVG,DMG - VLL%THD ph 2-AVG,DMG - VLL%THD ph 3-AVG,DMG - A%THD ph 1-AVG,DMG - A%THD ph 2-AVG,DMG - A%THD ph 3-AVG,DMG - VA TOT-AVG,DMG - VLN TOT-MIN,DMG - VLL TOT-MIN,
 2025/06/13  16:40:00,      401.52,      400.29,      400.61,      0.6074,      0.2542,      0.5773,      234.95,         2.7,     17.4781,     18.2621,     15.8536,    11154.39,        14.8,      0.8658,      6.5439,      0.8698,     1897.15,         4.4,      0.8532,      0.8628,      0.8593,      0.8571,       12.42,       12.41,       12.41,        6.41,        6.35,        6.53,        6.60,        6.60,        6.60,     3747.51,      231.84,      399.27,
 2025/06/13  16:45:00,      401.52,      400.27,      400.57,      0.6076,      0.2536,      0.5776,      234.90,         2.7,     17.3863,     18.2138,     15.7384,    11093.12,        15.7,      0.4024,      6.5413,      0.8733,     1782.65,         4.6,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.41,       12.40,        6.40,        6.35,        6.52,        6.60,        6.60,        6.59,     3747.09,      231.95,      399.51,
 2025/06/13  16:50:01,      401.50,      400.25,      400.58,      0.6077,      0.2540,      0.5773,      234.91,         2.7,     17.3803,     18.1074,     15.7869,    11082.35,        16.6,      0.1218,      6.5460,      0.5559,     1643.56,         4.7,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.41,       12.41,        6.41,        6.36,        6.52,        6.60,        6.60,        6.59,     3746.96,      231.88,      399.36,
 2025/06/13  16:55:01,      401.51,      400.27,      400.58,      0.5845,      0.2446,      0.5549,      226.23,         2.7,      5.2732,      5.6063,      4.8524,     3360.49,        16.9,      0.0123,      1.8636,      0.0000,      431.97,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.42,       12.41,       12.38,        6.41,        6.36,        6.52,        6.61,        6.60,        6.59,     3747.25,      231.88,      399.41,
 2025/06/13  17:00:02,      401.53,      400.28,      400.61,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.41,       12.40,        6.40,        6.35,        6.52,        6.60,        6.60,        6.59,     3747.49,      231.90,      399.40,
 2025/06/13  17:05:02,      401.49,      400.26,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.40,       12.41,        6.40,        6.36,        6.53,        6.59,        6.60,        6.60,     3747.03,      231.96,      399.48,
 2025/06/13  17:10:03,      401.48,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.41,       12.40,       12.41,        6.40,        6.36,        6.53,        6.60,        6.60,        6.60,     3747.12,      231.81,      399.19,
 2025/06/13  17:15:03,      401.49,      400.27,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.39,       12.40,        6.40,        6.35,        6.52,        6.60,        6.59,        6.59,     3747.12,      231.90,      399.42,
 2025/06/13  17:20:04,      401.52,      400.29,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.41,       12.40,        6.40,        6.36,        6.53,        6.60,        6.60,        6.61,     3747.46,      231.91,      399.43,
 2025/06/13  17:25:04,      401.51,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.40,        6.40,        6.35,        6.52,        6.59,        6.60,        6.59,     3747.21,      231.92,      399.49,
 2025/06/13  17:30:05,      401.50,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.41,       12.41,        6.40,        6.36,        6.52,        6.60,        6.61,        6.60,     3747.20,      231.92,      399.46,
 2025/06/13  17:35:05,      401.52,      400.26,      400.61,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8592,      0.8571,       12.40,       12.41,       12.39,        6.40,        6.36,        6.52,        6.60,        6.60,        6.59,     3747.30,      231.90,      399.42,
 2025/06/13  17:40:06,      401.52,      400.29,      400.61,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.41,       12.41,        6.41,        6.37,        6.52,        6.61,        6.61,        6.59,     3747.51,      231.93,      399.49,
